type,category,sub_cat
restaurant,local_economy,food and drinks
meal_delivery,local_economy,food and drinks
meal_takeaway,local_economy,food and drinks
bakery,local_economy,food and drinks
atm,local_economy,finance
bank,local_economy,finance
bar,local_economy,entertainment
night_club,local_economy,entertainment
beauty_salon,local_economy,services
hair_care,local_economy,services
spa,local_economy,services
bicycle_store,local_economy,stores
book_store,local_economy,stores
bus_station,built_environment,transportation
cafe,local_economy,food and drinks
campground,natural_environment,entertainment
car_repair,local_economy,services
electronics_store,local_economy,stores
car_wash,local_economy,services
cemetery,built_environment,public_space
church,built_environment,public_space
post_office,local_economy,services
gas_station,local_economy,services
lodging,local_economy,services
school,education,education
supermarket,local_economy,stores
general_contractor,local_economy,services
store,local_economy,stores
museum,local_economy,entertainment
convenience_store,local_economy,stores
dentist,health,health
doctor,health,health
hospital,health,health
electrician,local_economy,services
home_goods_store,local_economy,stores
florist,local_economy,stores
furniture_store,local_economy,stores
shopping_mall,built_environment,public_space
tourist_attraction,built_environment,public_space
funeral_home,local_economy,services
gym,health,health
veterinary_care,health,health
pharmacy,health,health
laundry,local_economy,services
library,local_economy,entertainment
aquarium,local_economy,entertainment
storage,local_economy,services
moving_company,local_economy,services
liquor_store,local_economy,stores
local_government_office,government,government
accounting,local_economy,services
park,built_environment,public_space
parking,built_environment,transportation
pet_store,local_economy,stores
movie_theater,local_economy,entertainment
physiotherapist,health,health
police,government,government
primary_school,education,education
plumber,local_economy,services
secondary_school,education,education
stadium,built_environment,public_space
grocery_or_supermarket,local_economy,stores
health,health,health
taxi_stand,local_economy,transportation
transit_station,built_environment,transportation
travel_agency,local_economy,services
university,education,education
locksmith,local_economy,services
city_hall,built_environment,public_space
amusement_park,built_environment,entertainment
movie_rental,local_economy,entertainment
fire_station,government,government
shoe_store,local_economy,stores
hardware_store,local_economy,stores
clothing_store,local_economy,stores